
     2057 atoms

1 atom types

 -200.000 200.000   xlo xhi 
 -200.000 200.000   ylo yhi 
 -200.000 200.000   zlo zhi

 Masses

        1       58.6934

 Atoms

 1   1    157.533 157.177 160.881  
 2   1    165.454 165.927 160.842  
 3   1    170.812 166.822 160.847  
 4   1    172.539 152.299 160.836  
 5   1    142.527 162.054 160.926  
 6   1    167.439 149.978 160.861  
 7   1    144.255 147.532 160.914  
 8   1    148.257 144.412 160.92   
 9   1    141.774 159.615 160.924  
 10  1    162.603 141.568 160.875  
 11  1    152.463 172.786 160.886  
 12  1    166.809 169.941 160.841  
 13  1    151.657 146.941 160.915  
 14  1    163.41 167.413 160.846   
 15  1    173.293 154.738 160.838  
 16  1    149.612 148.427 160.919  
 17  1    169.084 154.751 160.838  
 18  1    145.982 159.602 160.923  
 19  1    171.714 149.883 160.843  
 20  1    173.945 157.175 160.844  
 21  1    156.271 168.912 160.896  
 22  1    158.76 153.398 160.879   
 23  1    156.306 160.955 160.882  
 24  1    153.561 157.177 160.89   
 25  1    161.506 157.176 160.872  
 26  1    168.852 168.41 160.842   
 27  1    162.606 172.785 160.863  
 28  1    169.085 159.6 160.871    
 29  1    145.982 154.754 160.89   
 30  1    158.761 160.955 160.876  
 31  1    154.319 154.842 160.889  
 32  1    160.747 159.511 160.873  
 33  1    156.305 153.399 160.885  
 34  1    158.796 145.441 160.865  
 35  1    154.979 141.436 160.884  
 36  1    170.81 147.529 160.855   
 37  1    151.659 167.414 160.872  
 38  1    154.319 159.512 160.887  
 39  1    160.747 154.841 160.874  
 40  1    164.722 171.411 160.85   
 41  1    171.716 164.467 160.854  
 42  1    168.85 145.941 160.868   
 43  1    157.532 149.438 160.872  
 44  1    164.893 159.567 160.875  
 45  1    150.173 154.786 160.887  
 46  1    157.534 164.915 160.889  
 47  1    141.773 154.742 160.909  
 48  1    143.35 149.886 160.907   
 49  1    143.352 164.47 160.918   
 50  1    161.318 168.822 160.868  
 51  1    163.407 146.939 160.889  
 52  1    150.344 142.942 160.911  
 53  1    152.985 163.438 160.877  
 54  1    162.081 150.916 160.884  
 55  1    150.174 159.569 160.908  
 56  1    164.892 154.785 160.854  
 57  1    161.316 145.53 160.877   
